wl,ang,amp,per,forward.transmission.xx.real,forward.transmission.xx.imag,forward.transmission.yx.real,forward.transmission.yx.imag,forward.transmission.xy.real,forward.transmission.xy.imag,forward.transmission.yy.real,forward.transmission.yy.imag,forward.transmission.pp.real,forward.transmission.pp.imag,forward.transmission.sp.real,forward.transmission.sp.imag,forward.transmission.ps.real,forward.transmission.ps.imag,forward.transmission.ss.real,forward.transmission.ss.imag,forward.reflection.xx.real,forward.reflection.xx.imag,forward.reflection.yx.real,forward.reflection.yx.imag,forward.reflection.xy.real,forward.reflection.xy.imag,forward.reflection.yy.real,forward.reflection.yy.imag,forward.reflection.pp.real,forward.reflection.pp.imag,forward.reflection.sp.real,forward.reflection.sp.imag,forward.reflection.ps.real,forward.reflection.ps.imag,forward.reflection.ss.real,forward.reflection.ss.imag,backward.transmission.xx.real,backward.transmission.xx.imag,backward.transmission.yx.real,backward.transmission.yx.imag,backward.transmission.xy.real,backward.transmission.xy.imag,backward.transmission.yy.real,backward.transmission.yy.imag,backward.transmission.pp.real,backward.transmission.pp.imag,backward.transmission.sp.real,backward.transmission.sp.imag,backward.transmission.ps.real,backward.transmission.ps.imag,backward.transmission.ss.real,backward.transmission.ss.imag,backward.reflection.xx.real,backward.reflection.xx.imag,backward.reflection.yx.real,backward.reflection.yx.imag,backward.reflection.xy.real,backward.reflection.xy.imag,backward.reflection.yy.real,backward.reflection.yy.imag,backward.reflection.pp.real,backward.reflection.pp.imag,backward.reflection.sp.real,backward.reflection.sp.imag,backward.reflection.ps.real,backward.reflection.ps.imag,backward.reflection.ss.real,backward.reflection.ss.imag,R_xx,T_xx,R_yy,T_yy
1194.010498046875,18.113618850708008,26.25659942626953,3845.062744140625,0.3312888741493225,-0.07908646017313004,-3.3067908411510416e-09,-2.3834226681174187e-07,-1.3560515377264437e-08,2.2873205551832143e-08,0.31113705039024353,-0.08314096182584763,0.33128881454467773,-0.07908645272254944,-3.3067906191064367e-09,-2.3834225260088715e-07,-1.3560515377264437e-08,2.2873205551832143e-08,0.31113705039024353,-0.08314096182584763,-0.6883029341697693,-0.4127751290798187,-1.207897160071525e-08,-1.4661907243862515e-07,-1.7719843370400667e-08,7.627437348389776e-09,-0.7235124707221985,-0.38634175062179565,0.6883028745651245,0.41277509927749634,-1.207897160071525e-08,-1.4661907243862515e-07,1.7719843370400667e-08,-7.627437348389776e-09,-0.7235124707221985,-0.38634175062179565,0.33128905296325684,-0.07908523827791214,-1.4722638752573403e-07,1.5739014713744837e-07,5.322309704069994e-09,4.7002053804590105e-08,0.3111359477043152,-0.08314111083745956,0.33128905296325684,-0.07908523082733154,1.472263733148793e-07,-1.5739014713744837e-07,-5.322309704069994e-09,-4.7002053804590105e-08,0.3111359477043152,-0.08314111083745956,-0.3123009502887726,-0.653677225112915,-2.982279454499803e-07,3.263758401317318e-07,-1.3338540050256142e-08,1.4552236393683415e-07,-0.32700565457344055,-0.658047616481781,0.3123009502887726,0.653677225112915,2.982279454499803e-07,-3.263758401317318e-07,-1.3338540050256142e-08,1.4552236393683415e-07,-0.32700565457344055,-0.658047616481781,0.6482037305831909,0.13094055652618408,0.6764925718307495,0.1175440102815628
1629.1549072265625,41.28757858276367,44.907066345214844,4862.3671875,0.3936450183391571,-0.0597912035882473,-3.0615165957925683e-09,-1.574793806469188e-08,-2.559490894782357e-07,-1.2659272385917575e-07,0.28909412026405334,-0.08455904573202133,0.3936450183391571,-0.0597912073135376,-3.0615165957925683e-09,-1.574793806469188e-08,-2.559490894782357e-07,-1.2659272385917575e-07,0.28909412026405334,-0.08455904573202133,-0.5748617053031921,-0.4653996229171753,1.4915848112195818e-08,9.082050667075237e-10,-1.8047171579382848e-07,-3.500244361021032e-08,-0.7751925587654114,-0.3283594250679016,0.5748616456985474,0.4653995633125305,1.4915848112195818e-08,9.082050667075237e-10,1.8047170158297376e-07,3.500244005749664e-08,-0.7751925587654114,-0.3283594250679016,0.393646240234375,-0.059791501611471176,1.2760598622207908e-07,-4.232060035747054e-08,3.3690844247757923e-07,3.7191117030488385e-07,0.2890945374965668,-0.08455872535705566,0.3936461806297302,-0.05979149043560028,-1.2760597201122437e-07,4.232059680475686e-08,-3.369084140558698e-07,-3.71911113461465e-07,0.2890945374965668,-0.08455872535705566,-0.2723877429962158,-0.6150650978088379,4.1712235088198213e-07,-1.1077092665345845e-07,5.872685733265826e-07,5.221314722803072e-07,-0.3228708505630493,-0.653915524482727,0.27238771319389343,0.6150650382041931,-4.171223224602727e-07,1.1077091954803109e-07,5.872685733265826e-07,5.221314722803072e-07,-0.3228708505630493,-0.653915524482727,0.5589701533317566,0.1893557459115982,0.7149034142494202,0.11119145900011063
541.5639038085938,16.819005966186523,32.48944854736328,4324.06884765625,0.27054592967033386,0.34694555401802063,4.470848224968904e-08,1.8832661652368188e-08,4.323612046164271e-08,4.382215479381557e-09,0.27466288208961487,0.3328351378440857,0.27054592967033386,0.34694555401802063,4.470848580240272e-08,1.8832663428725027e-08,4.323612046164271e-08,4.382215479381557e-09,0.27466288208961487,0.3328351378440857,-0.28574904799461365,-0.41763126850128174,2.4430924838725332e-08,3.814733862128605e-09,1.7989879808055775e-08,1.5683472298633205e-08,-0.3367041349411011,-0.41755199432373047,0.28574907779693604,0.4176313281059265,2.443092661508217e-08,3.814733862128605e-09,-1.7989881584412615e-08,-1.5683474074990045e-08,-0.3367041349411011,-0.41755199432373047,0.270546019077301,0.34694424271583557,-2.259243636615338e-08,1.004108263202852e-08,-1.5191480073895036e-08,-4.985963641956914e-08,0.27466288208961487,0.332834392786026,0.270546019077301,0.34694427251815796,2.2592438142510218e-08,-1.004108352020694e-08,1.5191481850251876e-08,4.985963997228282e-08,0.27466288208961487,0.332834392786026,0.213242769241333,-0.4250715374946594,-4.9618648745308747e-08,3.962965067216828e-08,-5.861801710693726e-08,-1.9584742716460823e-08,0.20661738514900208,-0.4498652219772339,-0.213242769241333,0.4250715374946594,4.9618648745308747e-08,-3.962965067216828e-08,-5.861801710693726e-08,-1.9584742716460823e-08,0.20661738514900208,-0.4498652219772339,0.25975123047828674,0.20903952419757843,0.291714608669281,0.2002834528684616
611.248779296875,43.064170837402344,97.87862396240234,2946.341064453125,0.011625971645116806,0.22198468446731567,-1.9517794047629877e-09,9.128380185075002e-08,-5.5907094065332785e-08,1.226310786250906e-07,0.04951295629143715,0.14631809294223785,0.011625971645116806,0.22198468446731567,-1.9517796268075926e-09,9.128380895617738e-08,-5.590708695990543e-08,1.2263106441423588e-07,0.04951295629143715,0.14631809294223785,-0.18072310090065002,-0.5277902483940125,-2.5596332164923297e-08,-6.509738081916794e-09,-2.149788791427909e-08,4.567939626554107e-08,-0.5532169938087463,-0.45003384351730347,0.18072308599948883,0.5277901887893677,-2.5596332164923297e-08,-6.509738081916794e-09,2.149788613792225e-08,-4.5679392712827394e-08,-0.5532169938087463,-0.45003384351730347,0.01162654533982277,0.22198408842086792,-2.9285532221479116e-08,-1.14880549517693e-07,-1.1431705360109845e-07,5.980652417747478e-08,0.04951309785246849,0.14631782472133636,0.011626544408500195,0.22198408842086792,2.9285528668765437e-08,1.1488054241226564e-07,1.1431704649567109e-07,-5.980652417747478e-08,0.04951309785246849,0.14631782472133636,0.37971651554107666,-0.15777060389518738,3.0118644644971937e-07,-2.3453510777926567e-07,-1.3470065596266068e-07,-3.682765168377955e-07,0.45042237639427185,-0.35789385437965393,-0.3797164559364319,0.15777058899402618,-3.0118641802800994e-07,2.3453507935755624e-07,-1.3470064175180596e-07,-3.6827648841608607e-07,0.45042237639427185,-0.35789385437965393,0.3172331154346466,0.09738762676715851,0.5160990357398987,0.04767797514796257
891.87646484375,41.873329162597656,42.812801361083984,3100.409423828125,0.25939643383026123,0.025460682809352875,8.252649053019923e-08,-6.288622245165243e-08,7.768652210415894e-08,-8.30378468208437e-08,0.1844746619462967,-0.006868663709610701,0.25939643383026123,0.025460680946707726,8.252649053019923e-08,-6.288622245165243e-08,7.768652210415894e-08,-8.303785392627105e-08,0.1844746619462967,-0.006868663709610701,-0.5736550688743591,-0.5445855259895325,-1.3022228628756238e-08,-5.256836033140644e-08,1.0187530818939194e-08,-8.766522086034456e-08,-0.7985726594924927,-0.3673434257507324,0.5736550092697144,0.5445854663848877,-1.3022228628756238e-08,-5.256836033140644e-08,-1.0187529930760775e-08,8.766520664948985e-08,-0.7985726594924927,-0.3673434257507324,0.259397029876709,0.02546084113419056,-1.371497688751333e-07,7.028494763972049e-08,-5.7210890247461066e-08,1.2854989961397223e-07,0.18447482585906982,-0.006868625991046429,0.2593969702720642,0.02546083554625511,1.371497688751333e-07,-7.028494763972049e-08,5.721088314203371e-08,-1.2854989961397223e-07,0.18447482585906982,-0.006868625991046429,-0.10976526886224747,-0.7018657326698303,-2.2735808613560948e-07,9.428946867728882e-08,1.8713512517365416e-08,1.2824685313717055e-07,-0.1518648862838745,-0.7458004355430603,0.10976526886224747,0.7018657326698303,2.2735807192475477e-07,-9.428946867728882e-08,1.8713512517365416e-08,1.2824685313717055e-07,-0.1518648862838745,-0.7458004355430603,0.6302897930145264,0.09408193826675415,0.7747682929039001,0.04761350527405739
1414.52587890625,9.012868881225586,41.73781967163086,812.4788818359375,0.30664920806884766,-0.07905263453722,-3.14087422736975e-08,1.268170279900005e-07,5.40052553787973e-07,-4.146027521301221e-08,0.3865382671356201,0.05216217413544655,0.30664923787117004,-0.07905263453722,-3.14087422736975e-08,1.268170279900005e-07,5.40052553787973e-07,-4.146027521301221e-08,0.3865382671356201,0.05216217413544655,-0.7015860080718994,-0.4245850443840027,-2.2816031730599207e-08,5.935731195449989e-08,1.5441753475897713e-07,3.3821226708141694e-08,-0.676559567451477,-0.3484499454498291,0.7015859484672546,0.4245850145816803,-2.2816031730599207e-08,5.935731195449989e-08,-1.544175205481224e-07,-3.3821223155428015e-08,-0.676559567451477,-0.3484499454498291,0.306648850440979,-0.07905246317386627,9.684319479674741e-08,-3.933077419304709e-09,4.5716760155301017e-07,-7.284182856892585e-08,0.386537104845047,0.05216160789132118,0.3066488206386566,-0.07905245572328568,-9.684320190217477e-08,3.933076975215499e-09,-4.571675447095913e-07,7.284182146349849e-08,0.386537104845047,0.05216160789132118,-0.2604084014892578,-0.7404270768165588,1.9244210136548645e-07,-9.832522351871376e-08,1.1983765944023617e-06,-5.764790103057749e-07,-0.0665217936038971,-0.499480277299881,0.2604084014892578,0.7404270768165588,-1.9244210136548645e-07,9.832522351871376e-08,1.1983765944023617e-06,-5.764790103057749e-07,-0.0665217936038971,-0.499480277299881,0.672495424747467,0.10028306394815445,0.5791501998901367,0.15213271975517273
1184.1494140625,40.827449798583984,80.95651245117188,286.7917175292969,0.09879832714796066,0.006609719712287188,2.8825123621345483e-08,-3.361918388122831e-08,7.508069757022895e-07,2.6641766908142017e-06,0.22427572309970856,0.05336012691259384,0.09879831969738007,0.0066097192466259,2.8825121844988644e-08,-3.361918388122831e-08,7.508069757022895e-07,2.6641766908142017e-06,0.22427572309970856,0.05336012691259384,-0.6615079641342163,-0.5366457104682922,-1.0056406374303606e-08,-2.3677612759342992e-08,-1.2015664196951548e-07,-8.207013024730259e-07,-0.7938247323036194,-0.3394915759563446,0.6615079641342163,0.5366457104682922,-1.0056406374303606e-08,-2.3677612759342992e-08,1.201566561803702e-07,8.207013593164447e-07,-0.7938247323036194,-0.3394915759563446,0.09879782050848007,0.006609824951738119,-3.014118732380666e-08,2.4983652480159435e-08,1.7725490124576027e-06,-5.101242663840821e-07,0.22427493333816528,0.053360600024461746,0.09879783540964127,0.006609825417399406,3.014118732380666e-08,-2.4983654256516274e-08,-1.7725491261444404e-06,5.10124323227501e-07,0.22427493333816528,0.053360600024461746,-0.13600125908851624,-0.797305166721344,-1.208022410992271e-07,-1.8387531497410237e-07,9.991044862545095e-06,2.324700471945107e-05,0.333944708108902,-0.637724757194519,0.13600127398967743,0.7973052859306335,1.2080225531008182e-07,1.8387532918495708e-07,9.991044862545095e-06,2.324700471945107e-05,0.333944708108902,-0.637724757194519,0.7255813479423523,0.009804797358810902,0.7454121708869934,0.05314690247178078
1834.3115234375,49.90752029418945,41.496307373046875,550.20361328125,0.4431195855140686,-0.09262624382972717,7.054242701087787e-08,-1.2034435314944858e-07,5.675424290529918e-07,-8.707581287126231e-07,0.36691802740097046,-0.12437809258699417,0.4431196451187134,-0.09262625128030777,7.054242701087787e-08,-1.2034433893859386e-07,5.675425427398295e-07,-8.707582992428797e-07,0.36691802740097046,-0.12437809258699417,-0.47441741824150085,-0.5222578644752502,3.202254106327018e-08,-7.8488405108601e-08,8.45413637762249e-07,-3.5288448430037533e-07,-0.7568108439445496,-0.29179465770721436,0.47441738843917847,0.5222578048706055,3.202254106327018e-08,-7.8488405108601e-08,-8.454135809188301e-07,3.528844558786659e-07,-0.7568108439445496,-0.29179465770721436,0.44311922788619995,-0.09262752532958984,9.833831171590646e-08,6.67497772610659e-08,1.8473568843546673e-06,-3.970788498008915e-07,0.36691805720329285,-0.12437714636325836,0.44311925768852234,-0.09262752532958984,-9.83383046104791e-08,-6.674978436649326e-08,-1.8473567706678296e-06,3.9707882137918205e-07,0.36691805720329285,-0.12437714636325836,-0.29654157161712646,-0.6202967166900635,2.2418421963266155e-07,1.0035611097691799e-07,1.318034264841117e-06,-1.3153886584404972e-06,-0.23863181471824646,-0.6357976198196411,0.29654160141944885,0.6202967762947083,-2.2418423384351627e-07,-1.0035611808234535e-07,1.3180344922147924e-06,-1.3153888858141727e-06,-0.23863181471824646,-0.6357976198196411,0.49782514572143555,0.20493458211421967,0.6579068303108215,0.1500987559556961
1129.0047607421875,48.85408401489258,40.29911422729492,834.6998901367188,0.24424849450588226,-0.06768154352903366,-2.577760938038409e-07,3.480447787751473e-07,3.89101927567026e-07,-9.051387337422057e-07,0.20883788168430328,0.043410614132881165,0.24424847960472107,-0.06768154352903366,-2.577760938038409e-07,3.480447787751473e-07,3.89101927567026e-07,-9.051387905856245e-07,0.20883788168430328,0.043410614132881165,-0.5214121341705322,-0.5236252546310425,-8.975555232382249e-08,5.7483646287437296e-08,-1.9338600054652488e-08,-2.8923102135536283e-08,-0.840459406375885,-0.2671794593334198,0.5214121341705322,0.5236252546310425,-8.975555232382249e-08,5.7483646287437296e-08,1.9338600054652488e-08,2.8923102135536283e-08,-0.840459406375885,-0.2671794593334198,0.24425069987773895,-0.06768118590116501,3.4532521908658964e-07,4.139456848406553e-07,-1.713665938041231e-07,3.2761261081759585e-07,0.20883804559707642,0.0434100441634655,0.24425069987773895,-0.06768118590116501,-3.4532521908658964e-07,-4.1394571326236473e-07,1.713665795932684e-07,-3.276125823958864e-07,0.20883804559707642,0.0434100441634655,-0.17627587914466858,-0.7042037844657898,1.0350066759201582e-06,8.885038482731034e-07,2.373793222432141e-06,-3.0834169137961e-06,-0.2340281903743744,-0.4533957242965698,0.17627587914466858,0.7042037844657898,-1.0350066759201582e-06,-8.885038482731034e-07,2.373793222432141e-06,-3.0834169137961e-06,-0.2340281903743744,-0.4533957242965698,0.5460540056228638,0.06423811614513397,0.7777568697929382,0.045497745275497437
1411.6900634765625,30.59424591064453,56.50114059448242,419.06951904296875,0.23302043974399567,-0.03933063894510269,6.014036557644431e-08,1.991674878354388e-07,3.86660167350783e-06,-1.1741583421098767e-06,0.3245076835155487,-0.016887661069631577,0.23302043974399567,-0.03933063894510269,6.014036557644431e-08,1.991674878354388e-07,3.86660167350783e-06,-1.1741583421098767e-06,0.3245076835155487,-0.016887661069631577,-0.6819401979446411,-0.4809187650680542,2.502736018428209e-09,1.2967507245775778e-07,1.3695300822291756e-06,-3.544512026110169e-07,-0.7304534912109375,-0.36951562762260437,0.6819401383399963,0.4809187054634094,2.502736018428209e-09,1.2967507245775778e-07,-1.3695298548555002e-06,3.544511741893075e-07,-0.7304534912109375,-0.36951562762260437,0.2330208718776703,-0.03933050110936165,4.952365628696498e-08,-1.4050948493604665e-07,3.7650754620699445e-06,-1.0205488933934248e-06,0.3245081305503845,-0.0168880857527256,0.2330208569765091,-0.03933049738407135,-4.952365983967866e-08,1.4050948493604665e-07,-3.7650750073225936e-06,1.0205486660197494e-06,0.3245081305503845,-0.0168880857527256,-0.2563812732696533,-0.7604062557220459,-3.103696499806574e-08,-3.0165608677634737e-07,9.915557711792644e-06,-4.313752924645087e-06,-0.00513128936290741,-0.7163212299346924,0.25638124346733093,0.7604061961174011,3.103696499806574e-08,3.0165608677634737e-07,9.915557711792644e-06,-4.313752924645087e-06,-0.00513128936290741,-0.7163212299346924,0.6963253021240234,0.05584542453289032,0.6701040863990784,0.10559043288230896
